italian,dante,model
"L'altra è colei che si suicidò per amore, e non tenne fede alla memoria del marito sicheo","L’altra è colei che s’ancise amorosa, e ruppe fede al cener di sicheo","L’altra è colei che per amore si fé, e non tenne fede al marito sicheo"
"Il mio maestro mi afferrò prontamente, come la madre che è svegliata all'improvviso dal rumore e vede il fuoco vicino a sé,e prende il figlioletto e scappa senza fermarsi, preoccupandosi più di lui che di se stessa, anche se indossa solo una camicia","Lo duca mio di sùbito mi prese, come la madre ch’al romore è desta e vede presso a sé le fiamme accese, che prende il figlio e fugge e non s’arresta, avendo più di lui che di sé cura, tanto che solo una camiscia vesta","Lo duca mio m’afferrò tosto, come la madre che sùbito si sveglia e veggia il foco presso a sé, che prende ’l figlioletto, ma non si china, preoccupandosi più d’ei che di sé stessa, pur ch’ella non vesta camicia"
Ma quale peccato ti ha condotto a questa aspra pena,Ma che ti mena a sì pungenti salse,Ma che peccato t’ha condotto a questa aspra pena
Allora io mi separai dai dannati gravati dal peso e seguii i cari passi di virgilio,Ond’io da li ’ncarcati mi parti’  dietro a le poste de le care piante,"Ond’io mi divisi da li mal nati, e segui’ i cari passi di virgilio"
"Noi procedevano a passi lenti senza parlare, guardando e ascoltando gli ammalati che non potevano alzarsi","Passo passo andavam sanza sermone, guardando e ascoltando li ammalati, che non potean levar le lor persone","Noi andavam sanza parlar, veggendo e ascoltando li ammalati che non potean levarsi"
E ciò iniziò dal giorno in cui pallante morì per assicurargli un regno,E cominciò da l’ora che pallante morì per darli regno,E cominciò là ‘ve pallante morì per dargli un regno
E questa è la ragione per cui all'uomo fu preclusa la via di riparare di sua iniziativa,E questa è la cagion per che l’uom fue da poter sodisfar per sé dischiuso,E questa è la cagion per che a l’uom fu tolta la via
"E come chi è stanco di correre lascia andare avanti i compagni, e cammina più lentamente per calmare l'affanno del petto, così forese lasciò passare quel santo gregge di anime e veniva dietro a me, dicendo:","E come l’uom che di trottare è lasso, lascia andar li compagni, e sì passeggia fin che si sfoghi l’affollar del casso, sì lasciò trapassar la santa greggia forese, e dietro meco sen veniva, dicendo:","E qual è colui che stanco d’andar lascia li compagni ad ogne piè dietro per calmar la tempra del petto, così forese lasciò quel santo gregge passar per me, dicendo:"
E lei a me:,Ed ella a me:,Ed ella a me:
"E al nome del nobile maccabeo vidi un'altra luce muoversi girando su se stessa, e la gioia era la frusta che faceva muovere la trottola","E al nome de l’alto macabeo vidi moversi un altro roteando, e letizia era ferza del paleo","E al nome del gentil maccabeo vidi un’altra luce moviersi girando sù, la letizia era la frusta che muovea la trottola"
"E sappi che la colpa che si contrappone in modo opposto a un peccato, viene espiata qui insieme con esso","E sappie che la colpa che rimbecca per dritta opposizione alcun peccato, con esso insieme qui suo verde secca","E sappi che la colpa che si contraddice ad un peccato, quinci con lui si rispuose"
Chiesi perdono a dio alla fine dei miei giorni,Pace volli con dio in su lo stremo de la mia vita,Perdono chiesi a dio infin li giorni miei
Lo puoi vedere dalla cintola in su,Da la cintola in sù tutto ’l vedrai,Lo puoi veder de la cintola in suso
"E rese il cielo soprastante gonfio di umidità, tanto che questa si trasformò in pioggia","E ‘l ciel di sopra fece intento,  sì che ‘l pregno aere in acqua si converse","E lo ‘ncendio soprastante fé di umilta, sì ch’ella si trasmutò in pioggia"
Dal momento che nella creazione divina di questi cieli non ci fu un prima né un dopo,Ché né prima né poscia procedette lo discorrer di dio sovra quest’acque,Ond’ei non fu prima né dopo il sorgere di questi cieli
"Da quel momento in poi la mia visione fu superiore a quanto possa esprimere il mio linguaggio, che è inferiore a quel che vidi, così come la memoria è insufficiente a ricordare un tale eccesso","Da quinci innanzi il mio veder fu maggio che ‘l parlar mostra, ch’a tal vista cede, e cede la memoria a tanto oltraggio","Da quel momento in poi fu la mia visione superiore a quel ch’io veggio dire, che è più o meno il mio dir, sì come l’obiettion non sodisfaccia"
"Quelli che nell'antichità scrissero versi sull'età dell'oro e il suo stato felice, forse sognarono in parnaso proprio questo luogo","Quelli ch’anticamente poetaro l’età de l’oro e suo stato felice, forse in parnaso esto loco sognaro","Quei che l’età d’oro e ‘l suo stato felice scrissero, forse in parnaso sognaro quel loco"
"Certo però poco prima, se capisco bene, che venisse colui che trasse dal i cerchio gli spiriti dei patriarchi, la profonda valle fetida tremò da ogni parte, così che pensai che l'universo sentisse amore, per il quale alcuni credono che il mondo più volte si sia convertito in caos","Ma certo poco pria, se ben discerno, che venisse colui che la gran preda levò a dite del cerchio superno,  da tutte parti l’alta valle feda tremò sì, ch’i’ pensai che l’universo sentisse amor, per lo qual è chi creda  più volte il mondo in caòsso converso","E certo, se ben odo, che venisse colui che trasse li spirti de’ patriarchi, la profonda valle tremò d’ogne parte, sì ch’io pensai amor, per che ‘l mondo più volte s’arresta"
"Come alessandro magno nelle calde regioni dell'india vide cadere intatte sino a terra delle fiamme sulle sue truppe, per cui diede ordine ai soldati di scalpicciare il suolo in quanto il vapore si estingueva meglio prima di propagarsi:così scendevano quelle fiamme eterne","Quali alessandro in quelle parti calde d’india vide sopra ’l suo stuolo fiamme cadere infino a terra salde,  per ch’ei provide a scalpitar lo suolo con le sue schiere, acciò che lo vapore mei si stingueva mentre ch’era solo:  tale scendeva l’etternale ardore","Come alessandro magno ne le calde regioni d’india intatte cadde infino al suolo fiamme, per che ‘l vapor s’estingueva meglio prima che si spanda: così scemavan quelle etternal fiamme"
"La vostra fama è come il verde dell'erba, che va e viene, ed è cancellato dal sole che fa spuntare l'erba stessa dalla terra","La vostra nominanza è color d’erba, che viene e va, e quei la discolora per cui ella esce de la terra acerba","La vostra fama è come ‘l verde de l’erba che va e vien, che s’acquisisce dal sol che la terra tolle"
"Giunse alla porta di dite e con l'aprì con un bastoncino, senza incontrare opposizione","Venne a la porta, e con una verghetta l’aperse, che non v’ebbe alcun ritegno","Giunse a la porta di dite, e con un bastoncino l’aperse sanza opporsi"
"Ma se voi volete qualcosa che sia in mio potere, spiriti fortunati, ditelo e io lo farò, in nome di quella pace che io, seguendo i passi di questa guida, cerco nei regni dell'oltretomba","Ma s’a voi piace cosa ch’io possa, spiriti ben nati,  voi dite, e io farò per quella pace che, dietro a’ piedi di sì fatta guida di mondo in mondo cercar mi si face","Ma se voi v’avete qualcosa che potea, spiriti fortunati, ditelo, e io farò, per quella pace ch’i’, seguendo li passi di questa guida, cerco ne’ regni d’oltretomba"
E approvo il giudizio di chi lo considera poca cosa,E quel consiglio per migliore approbo che l’ha per meno,E il giudizio d’ogne parte lo discerno
"La usarono per difendere una porta meno nascosta, la quale è tuttora senza battenti","Ché già l’usaro a men segreta porta, la qual sanza serrame ancor si trova","A difender l’una porta men nascosta, ch’è ancor sanza battente"
"Ma poiché vedo che il tuo intelletto è come pietrificato e, così fatto, è oscurato, per cui la luce delle mie parole ti abbaglia, voglio che tu conservi un'immagine sommaria di ciò che ti ho detto, se non un ricordo preciso, come il pellegrino conserva una frasca di palma sul suo bastone","Ma perch’io veggio te ne lo ‘ntelletto fatto di pietra e, impetrato, tinto, sì che t’abbaglia il lume del mio detto, voglio anco, e se non scritto, almen dipinto, che ’l te ne porti dentro a te per quello che si reca il bordon di palma cinto","Ma perché il tuo intelletto è pietrificato e sì fatto, per che la luce de le mie parole t’abbaglia, voglio che tu conservi imagine di ciò ch’io dico, se non di preciso, sì come ‘l pellegrino conserva la palma nel suo bastone"
"E non compì un giro completo, prima che una seconda corona la circondasse, accordando il proprio movimento e il proprio canto a quello dell'altra","E nel suo giro tutta non si volse prima ch’un’altra di cerchio la chiuse, e moto a moto e canto a canto colse","E non fé tutto suo giro, prima ch’una seconda corona la circondasse, accordando il suo movimento a quello de l’altra"
"Allora mi voltai, come chi si attarda a vedere ciò che deve sfuggire e cui la paura toglie subito gagliardia, e che mentre osserva non esita comunque a scappare: e vidi dietro di noi un diavolo nero che veniva correndo su per il ponte","Allor mi volsi come l’uom cui tarda di veder quel che li convien fuggire e cui paura sùbita sgagliarda, che, per veder, non indugia ’l partire: e vidi dietro a noi un diavol nero correndo su per lo scoglio venire","Ond’io mi volsi, come colui ch’a veder deve fuggire e a cui la paura subito gagliardia tolle, che là sù veggia un diavolo nero, correndo su per la riva"
"Io posi questa domanda, e lui rispose:","Questa question fec’io, e quei mi rispuose:","Io dissi questo, ed elli a me:"
Colui in una fogna dove si raccolgono il sangue e la puzza,"Quelli ch’usurpa in terra il luogo mio, il luogo mio, il luogo mio, che vaca ne la presenza del figliuol di dio, fatt’ha del cimitero mio cloaca del sangue e de la puzza",Colui in una fogna dove si raccoglie il sangue e la puzza
E sopra di me risplendette tanta grazia che io liberai i villaggi circostanti dall'empia religione pagana che traviò il mondo,"E tanta grazia sopra me relusse, ch’io ritrassi le ville circunstanti da l’empio cólto che ‘l mondo sedusse","E sovra me risplendette tanta grazia, ch’io liberai le genti intorno d’l’empia fede che ‘l mondo fé disvelto"
"Io vedo tuo nipote che diventa cacciatore di quei lupi sulle sponde del feroce fiume, e li terrorizza tutti","Io veggio tuo nepote che diventa cacciator di quei lupi in su la riva del fiero fiume, e tutti li sgomenta","Io veggio tuo nipote in su la riva del feroce fiume, e tutti li terrorizza"
E gli altri:,E l’altra:,E li altri:
"E se anche accadesse già, sarebbe comunque tardi","E se già fosse, non saria per tempo","E se già avvenisse, già tardi sarebbe"
"E vidi orfeo, cicerone, lino e il filosofo seneca","E vidi orfeo, tulio e lino e seneca morale","E vidi orfeo, cicerone, lino, seneca filosofo"
"E poiché io ho diviso persone così unite, porto il mio cervello, me misero","Perch’io parti’ così giunte persone, partito porto il mio cerebro, lasso","E però ch’io m’ha sì unite, porto il mio cervello, me misero"
